#{"t_start": 1771697675.5216992, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
345.0,2893,6317.854983
780.0,5385,6333.00777
390.0,2713,6340.882146
390.0,3321,6350.538183
335.0,2455,6357.582056
310.0,2831,6365.651314
275.0,2873,6373.771494
460.0,2455,6380.822796
365.0,3253,6390.056452
250.0,2604,6397.661731
440.0,2689,6405.349341
370.0,3024,6413.896003
290.0,3041,6422.538252
390.0,2412,6429.564604
220.0,4335,6441.868526
360.0,2942,6450.355125
360.0,2682,6458.083636
380.0,2615,6465.706253
350.0,3259,6474.979396
275.0,3117,6484.004611
325.0,2775,6492.067134
280.0,3315,6501.541961
445.0,4539,6514.528163
365.0,2837,6522.480202
850.0,3820,6533.286209
930.0,4893,6547.05723
645.0,3009,6555.737556
295.0,2648,6563.33039
215.0,2519,6570.440895
280.0,2689,6578.238502
365.0,2433,6585.162514
345.0,2904,6593.524651
310.0,2497,6609.125734
785.0,2904,6617.572639
310.0,2759,6625.51387
305.0,2805,6633.750728
350.0,2871,6642.02245
360.0,3095,6651.080874
670.0,2917,6659.61994
290.0,3058,6668.545568
305.0,2714,6676.596779
250.0,2956,6685.317512
365.0,2714,6693.451582
330.0,2671,6701.310244
495.0,2761,6709.414477
355.0,2391,6716.416718
420.0,2476,6723.715021
335.0,3270,6733.171601
760.0,2753,6741.482676
725.0,2732,6749.466908
605.0,3429,6759.308531
285.0,3531,6769.695679
315.0,2775,6777.861856
475.0,3265,6787.341702
310.0,3120,6796.447654
500.0,2829,6804.889076
370.0,2711,6812.998094
305.0,2199,6819.521243
315.0,2455,6826.921926
435.0,3423,6837.116622
595.0,3153,6846.649034
450.0,3152,6855.735229
405.0,2805,6863.999954
540.0,2867,6872.369387
340.0,3301,6882.080602
520.0,2935,6890.79382
355.0,2636,6898.713034
365.0,2699,6912.163108
345.0,2678,6920.30513
570.0,2412,6927.542217
275.0,3145,6936.47007
330.0,2845,6944.500851
375.0,2583,6951.989521
565.0,2791,6959.88915
325.0,2455,6967.140985
840.0,3223,6976.512429
235.0,2693,6984.262753
340.0,2900,6992.671287
340.0,2664,7000.477902
360.0,2497,7007.652296
695.0,3247,7017.046995
485.0,2583,7024.642476
610.0,2711,7032.58166
55.0,1197,7035.963961
305.0,2987,7044.410991
360.0,2284,7050.994215
585.0,2689,7059.117041
505.0,3599,7069.496996
505.0,4649,7083.222992
500.0,2688,7090.924057
520.0,2735,7098.820801
325.0,2659,7106.414556
310.0,2707,7114.328336
360.0,3107,7123.234553
345.0,3182,7132.331917
330.0,2497,7139.466537
235.0,3139,7148.710696
730.0,2903,7157.057807
315.0,2284,7163.621944
370.0,2476,7170.725077
330.0,2732,7178.587808
390.0,2561,7186.200405
320.0,3079,7195.173179
500.0,2903,7209.949932
335.0,2476,7217.106044
330.0,2596,7224.581722
790.0,2583,7231.98857
275.0,2497,7239.18553
515.0,2647,7246.898011
310.0,2632,7254.670572
335.0,3395,7264.972947
260.0,2777,7273.067345
345.0,2412,7280.107694
585.0,4593,7293.27265
250.0,2443,7300.2947
535.0,2717,7308.070219
610.0,4825,7321.854326
300.0,2412,7328.802585
290.0,3140,7337.838446
480.0,3118,7346.822814
620.0,3522,7356.841154
335.0,2794,7364.964404
310.0,2540,7372.423053
675.0,3903,7383.663397
285.0,2369,7390.53628
195.0,2933,7398.912476
380.0,2391,7405.762721
280.0,2391,7412.791102
495.0,4131,7424.661602
360.0,2554,7432.089657
285.0,2433,7439.154811
315.0,3716,7449.869924
410.0,3623,7460.311816
525.0,4473,7473.196646
735.0,3115,7482.087775
295.0,2433,7489.143905
285.0,2626,7496.768208
365.0,2327,7509.185815
380.0,2263,7515.904461
510.0,2837,7524.295177
405.0,2327,7531.082585
300.0,2832,7539.436515
705.0,2987,7548.136097
290.0,2519,7555.539256
350.0,2497,7562.768852
325.0,2605,7570.488132
560.0,2476,7577.783374
310.0,2765,7585.861572
380.0,2753,7593.934687
290.0,2799,7602.10427
330.0,2646,7610.172362
490.0,3155,7619.537665
275.0,3042,7628.294308
500.0,3031,7637.14071
300.0,2476,7644.456057
355.0,2890,7652.679813
355.0,2863,7660.936141
295.0,3073,7670.011193
315.0,2455,7677.525746
480.0,2881,7685.884088
270.0,3065,7694.768103
285.0,3060,7703.759364
465.0,2601,7711.479837
310.0,2627,7719.042378
575.0,2769,7727.203788
395.0,2665,7734.930894
690.0,3453,7744.933232
695.0,3907,7756.33756
330.0,2873,7764.563271
565.0,2845,7772.821512
335.0,2540,7780.387317
275.0,2391,7787.463097
595.0,2732,7795.612287
250.0,2465,7802.672623
285.0,2573,7815.207494
505.0,2497,7822.425431
340.0,2284,7828.92191
565.0,2888,7837.237144
365.0,2460,7844.858288
345.0,2537,7852.303689
375.0,2445,7859.335459
490.0,2647,7867.005452
390.0,2499,7874.15298
305.0,2455,7881.426276
385.0,2525,7888.653482
295.0,2683,7896.406343
360.0,3113,7905.576476
525.0,2220,7912.355174
335.0,2604,7920.250288
290.0,2199,7926.574239
590.0,2549,7934.022667
265.0,2829,7942.215061
365.0,2765,7950.60585
335.0,2549,7958.179048
330.0,2369,7965.184639
340.0,2515,7972.609926
490.0,3059,7981.626226
330.0,2689,7989.337694
735.0,3209,7998.49793
335.0,2348,8005.258577
335.0,2751,8013.135001
500.0,3307,8022.744853
305.0,2391,8029.706909
390.0,3338,8039.390434
460.0,2671,8047.206989
460.0,3643,8057.772589
540.0,2776,8066.163767
350.0,2962,8074.811238
365.0,2327,8081.669487
580.0,5033,8096.275306
370.0,3285,8112.121853
520.0,3081,8121.0388
365.0,2515,8128.192481
530.0,3192,8137.712934
330.0,2393,8145.013478
390.0,2841,8153.244759
260.0,2641,8161.064224
220.0,2890,8169.351784
285.0,2684,8177.139019
560.0,3751,8187.929611
55.0,1147,8191.069508
605.0,4855,8205.050076
345.0,2369,8211.975528
365.0,2603,8219.616391
360.0,2604,8227.245106
310.0,2433,8234.58429
335.0,2845,8242.707803
590.0,2590,8250.235815
415.0,2369,8257.203475
340.0,2220,8263.72737
255.0,3137,8272.927896
315.0,2717,8280.738899
775.0,5529,8297.078026
555.0,3667,8307.663718
415.0,2241,8314.323268
390.0,2412,8321.477701
375.0,2561,8329.236108
215.0,2299,8335.823291
415.0,3637,8346.258402
340.0,2455,8353.536916
390.0,2866,8362.163391
510.0,2476,8369.403868
360.0,2721,8377.447083
330.0,2711,8385.397051
610.0,2955,8393.879117
610.0,4287,8413.895053
535.0,2689,8421.82273
395.0,2623,8429.345772
315.0,3202,8438.610798
425.0,2519,8446.143998
565.0,2753,8454.150175
245.0,3351,8464.078561
770.0,6091,8481.989065
265.0,2649,8489.924892
350.0,2540,8497.174019
440.0,3585,8507.48301
315.0,2348,8514.394211
420.0,2549,8521.74453
345.0,2621,8529.325374
350.0,2765,8537.318843
345.0,2455,8544.580764
590.0,2651,8552.361117
340.0,2497,8559.819052
530.0,4179,8572.095095
550.0,2679,8580.030334
955.0,4641,8593.408496
475.0,4265,8605.676399
580.0,3607,8616.08376
480.0,2785,8624.149852
1385.0,7165,8645.200331
350.0,2412,8652.252153
555.0,4041,8663.960908
605.0,2476,8671.183991
575.0,3265,8680.704813
550.0,2711,8688.644429
330.0,3763,8699.635114
335.0,2369,8706.597443
295.0,2753,8721.61765
310.0,2621,8729.200009
470.0,3593,8739.632895
315.0,2681,8747.420399
325.0,2616,8754.927426
345.0,2497,8762.163676
390.0,2412,8769.140294
335.0,2549,8776.412723
565.0,2680,8784.253315
455.0,5287,8799.465129
320.0,2455,8806.555684
605.0,4833,8820.753264
300.0,2199,8827.468776
385.0,2284,8834.127453
380.0,2455,8841.307399
525.0,4407,8854.03658
380.0,2646,8861.881462
380.0,2883,8870.301141
420.0,2369,8877.319181
345.0,2711,8885.262727
440.0,3409,8895.091964
295.0,2927,8903.628341
495.0,2475,8910.826187
470.0,2433,8918.013245
530.0,3985,8929.487296
390.0,2468,8936.568706
305.0,3122,8945.721742
330.0,2767,8953.911977
585.0,2497,8961.66807
305.0,2753,8969.747838
330.0,2578,8977.261855
380.0,2199,8983.754712
380.0,2579,8991.20682
345.0,2583,8998.863986
615.0,2241,9005.523414
335.0,2679,9020.859879
315.0,2623,9028.429276
535.0,3127,9037.398345
1055.0,7345,9058.75237
395.0,2156,9065.202873
605.0,4865,9079.374328
290.0,2705,9087.230326
345.0,2241,9093.75246
435.0,3705,9104.811898
350.0,2519,9112.298012
410.0,2533,9119.72849
410.0,2284,9126.597661
360.0,2655,9134.907857
405.0,2433,9142.222347
385.0,3341,9151.976816
350.0,2369,9158.965492
765.0,3239,9168.415344
585.0,4220,9180.468165
540.0,2783,9188.669174
300.0,2455,9195.895613
840.0,3737,9206.768816
360.0,2556,9214.215811
555.0,4663,9227.796681
870.0,2817,9236.085098
335.0,2621,9243.574725
345.0,3120,9252.690754
350.0,2711,9260.707337
315.0,2647,9268.788798
280.0,3237,9278.311196
375.0,2241,9284.91996
415.0,2540,9292.495821
360.0,2455,9299.717296
360.0,2713,9307.637056
320.0,2391,9314.581254
365.0,2519,9329.069438
335.0,2662,9336.917394
565.0,2625,9344.470713
355.0,2821,9352.641108
400.0,2284,9359.211455
305.0,2348,9366.092075
395.0,2741,9374.018284
345.0,2391,9380.993244
345.0,2412,9387.997074
545.0,2701,9395.973024
375.0,2563,9403.322515
270.0,3349,9413.146402
390.0,2549,9420.700923
275.0,2497,9428.140925
365.0,3074,9437.256786
540.0,3549,9447.588671
345.0,2685,9455.567614
365.0,2699,9463.437567
275.0,2960,9472.052857
665.0,2670,9480.067022
335.0,2549,9487.552754
1170.0,6593,9506.648545
335.0,2348,9513.421367
410.0,2369,9520.577906
630.0,2881,9529.104842
300.0,2753,9537.164523
550.0,2781,9545.398331
355.0,2523,9552.712097
360.0,2569,9560.172184
375.0,2545,9567.672096
420.0,2724,9575.853805
595.0,2728,9583.847791
345.0,2476,9591.266628
395.0,3242,9601.120075
1230.0,6623,9626.839962
315.0,2561,9634.243823
575.0,4215,9646.372291
515.0,2565,9653.833969
380.0,2573,9661.322192
470.0,2517,9668.785565
395.0,2637,9676.349553
270.0,3172,9685.941383
640.0,3435,9695.928256
530.0,4031,9707.559199
805.0,4695,9721.093995
590.0,2655,9728.87666
590.0,2539,9736.423602
370.0,2599,9744.038391
445.0,2401,9751.015511
370.0,2857,9759.414966
410.0,2760,9767.385934
515.0,3537,9777.826882
330.0,2672,9785.678108
625.0,2371,9792.614407
380.0,2348,9799.38571
425.0,2377,9806.267204
390.0,2369,9813.407914
435.0,3607,9824.109917
295.0,2898,9832.633386
405.0,2391,9839.569821
400.0,2955,9848.284869
300.0,2635,9856.526622
260.0,2683,9864.740428
410.0,2498,9871.962281
360.0,2412,9879.004982
360.0,2348,9885.933831
350.0,2348,9892.966221
365.0,2579,9900.578721
380.0,2682,9908.598922
365.0,2903,9916.928714
345.0,3101,9931.822826
355.0,2511,9939.190797
340.0,2348,9946.152236
360.0,3091,9955.193189
365.0,2928,9963.893522
220.0,2339,9970.777902
695.0,3479,9980.943914
340.0,2727,9988.93565
285.0,2455,9996.167959
340.0,2541,10003.794878
395.0,2327,10010.839006
550.0,4147,10023.128494
445.0,2519,10030.60771
235.0,2455,10037.713272
325.0,2711,10045.651306
300.0,2885,10054.064608
285.0,2241,10060.745231
670.0,3735,10071.604093
365.0,2559,10079.152287
330.0,2577,10086.79228
340.0,3165,10096.010157
370.0,3101,10105.037044
445.0,3695,10115.770519
355.0,2581,10123.461994
350.0,2783,10131.71872
565.0,3157,10141.056203
500.0,2711,10149.045135
520.0,2540,10156.554005
445.0,2670,10164.487678
530.0,3691,10175.561247
585.0,2543,10183.175217
420.0,2552,10190.812641
280.0,2566,10198.510561
410.0,2156,10204.960116
335.0,2697,10212.756176
365.0,2641,10220.5264
360.0,2494,10233.644361
440.0,2327,10240.704592
355.0,2526,10248.015378
385.0,2241,10254.75232
360.0,2895,10263.168785
335.0,2555,10270.551436
450.0,2485,10277.895463
385.0,2241,10284.380847
395.0,2369,10291.344263
365.0,2779,10299.667578
380.0,2395,10306.725682
410.0,2369,10313.807004
390.0,2560,10321.792429
310.0,2549,10329.389269
450.0,2284,10336.133449
565.0,2177,10342.686111
295.0,2963,10351.401129
300.0,2655,10359.083187
530.0,3044,10367.936125
255.0,2031,10373.856728
385.0,2241,10380.398883
495.0,2481,10387.773492
555.0,2898,10396.125477
330.0,2311,10402.966457
395.0,2753,10410.948807
320.0,2497,10418.28694
495.0,2711,10426.353098
365.0,2603,10433.967851
365.0,2879,10442.534822
600.0,4473,10455.501605
470.0,2875,10463.819225
385.0,2540,10471.442923
310.0,2369,10478.383749
590.0,3014,10487.130975
555.0,2591,10494.693702
405.0,3348,10504.548294
475.0,3265,10514.041149
385.0,2542,10521.567445
385.0,2687,10529.535748
425.0,3009,10545.989768
660.0,3137,10555.270241
195.0,2531,10562.689491
350.0,2849,10571.096893
605.0,2711,10579.146146
365.0,2872,10587.615132
505.0,2585,10595.184828
360.0,2327,10602.113431
405.0,2369,10609.013699
595.0,3059,10618.099419
500.0,3027,10627.430415
605.0,2461,10634.689593
340.0,3229,10644.185253
545.0,3898,10655.569423
335.0,2891,10663.94272
345.0,3412,10674.364908
575.0,2327,10681.188164
325.0,2305,10688.221274
400.0,2284,10695.094636
245.0,2323,10701.989978
655.0,3907,10713.438762
325.0,2625,10721.160656
350.0,2348,10728.187622
335.0,2369,10735.312988
420.0,2177,10741.812125
355.0,2668,10749.75027
320.0,2755,10758.122653
395.0,2878,10766.647605
330.0,3117,10775.77188
365.0,2412,10782.887918
555.0,2729,10790.954214
310.0,2327,10797.787322
360.0,2549,10805.308663
565.0,4129,10817.4174
380.0,2702,10825.225745
970.0,6422,10850.577426
365.0,2855,10858.911335
685.0,4253,10871.307726
420.0,2241,10877.910005
710.0,3195,10887.308109
580.0,4202,10899.546769
60.0,1667,10904.392674
500.0,4275,10916.912239
285.0,2731,10925.077673
730.0,3554,10935.53418
1075.0,5513,10951.778698
395.0,2348,10958.733927
330.0,2487,10966.055215
575.0,4315,10978.645055
545.0,3664,10989.435571
520.0,3653,11000.268558
485.0,3911,11011.684275
600.0,3911,11023.489964
475.0,3659,11034.565511
515.0,3497,11044.971339
270.0,2433,11052.189402
780.0,3505,11062.332721
600.0,4875,11076.696287
450.0,3261,11086.4059
950.0,5897,11103.714132
365.0,2468,11110.882525
775.0,4925,11125.42462
325.0,2650,11133.140977
550.0,3139,11142.367466
415.0,2463,11157.519167
665.0,3191,11166.819896
395.0,2567,11174.301339
360.0,2729,11182.210964
945.0,3661,11192.810553
340.0,2497,11200.026622
530.0,3491,11209.943714
525.0,4265,11222.392568
375.0,2403,11229.252187
570.0,4143,11241.118168
575.0,3943,11252.529306
345.0,2637,11260.089326
600.0,3391,11269.934448
775.0,4066,11281.759423
480.0,3105,11290.671601
410.0,3395,11300.475249
600.0,3931,11311.562044
510.0,4461,11324.656224
565.0,2661,11332.439308
410.0,2535,11339.776012
570.0,3726,11350.387564
580.0,3293,11359.819919
355.0,2594,11367.271244
335.0,2700,11375.019327
545.0,2951,11383.497541
490.0,3407,11393.288852
435.0,3215,11402.584771
320.0,2435,11409.559844
695.0,5117,11424.373888
670.0,3629,11434.815599
585.0,3975,11453.618268
360.0,2773,11461.638814
815.0,5835,11478.496768
435.0,2277,11485.133402
15.0,1117,11488.433686
335.0,2679,11496.110213
570.0,4277,11508.368716
520.0,4325,11520.875284
425.0,3021,11529.63379
520.0,3307,11539.317585
835.0,5725,11556.073089
720.0,3471,11565.994992
570.0,3514,11576.235456
540.0,3771,11587.018262
720.0,4515,11600.025104
490.0,3011,11608.774225
390.0,2521,11616.303998
550.0,3392,11626.183321
270.0,2091,11632.220481
580.0,3815,11643.246465
540.0,4087,11655.191419
1000.0,3711,11665.775714
550.0,3296,11675.300473
490.0,3249,11684.705594
865.0,6525,11703.362463
420.0,2623,11710.817546
600.0,4177,11722.799165
575.0,4295,11735.355078
550.0,3377,11753.807373
1435.0,7175,11774.959522
1225.0,6833,11794.826046
375.0,3405,11804.633822
760.0,3565,11815.001311
790.0,5525,11831.015276
335.0,2849,11839.298337
490.0,3645,11849.707021
690.0,3881,11861.120872
545.0,3673,11871.647738
650.0,4145,11883.743309
605.0,3863,11894.847392
600.0,4263,11907.355765
575.0,3601,11917.669526
970.0,4723,11931.237584
450.0,3239,11940.6959
715.0,3577,11951.091785
655.0,4195,11963.188584
885.0,6807,11982.986608
600.0,3673,11993.570125
755.0,4653,12007.027097
415.0,4023,12018.672552
445.0,3293,12028.242231
805.0,4471,12041.146121
560.0,3070,12059.75189
745.0,3907,12071.594748
1125.0,7387,12093.050776
440.0,3249,12102.597101
550.0,3529,12112.942866
530.0,2903,12121.314721
545.0,3825,12132.345788
360.0,2753,12140.426179
365.0,2551,12147.840209
545.0,3513,12157.977743
600.0,3749,12168.852666
790.0,5739,12185.433442
545.0,2791,12193.578882
415.0,2750,12201.516035
670.0,3989,12212.854791
720.0,4000,12224.329194
490.0,3441,12234.28182
290.0,2521,12241.603684
555.0,4063,12253.154085
450.0,3797,12264.171052
580.0,4539,12277.311715
570.0,3265,12286.740577
500.0,3671,12297.243846
610.0,3681,12307.903611
1185.0,7049,12328.819941
335.0,2967,12337.455021
690.0,3737,12355.651388
525.0,3921,12367.102694
510.0,2763,12375.159236
575.0,2832,12383.27175
560.0,2671,12391.126931
725.0,4679,12404.510843
1150.0,7211,12425.452794
510.0,3739,12436.08802
320.0,2471,12443.413076
545.0,3841,12454.631623
1025.0,7027,12474.704752
600.0,4145,12486.619286
520.0,3685,12497.302854
600.0,3973,12508.693652
605.0,4299,12520.906628
800.0,3869,12532.015021
980.0,6227,12549.944995
600.0,3777,12561.127809
515.0,3461,12571.092303
585.0,4219,12583.022598
520.0,3616,12593.473656
1155.0,7554,12614.921677
600.0,3419,12624.856401
555.0,3386,12634.474009
1150.0,7771,12667.478651
600.0,4129,12679.286658
675.0,3025,12687.848672
990.0,7183,12708.325665
805.0,3789,12719.153732
570.0,3852,12730.380176
525.0,3375,12740.074688
565.0,3725,12750.80537
390.0,2855,12759.021425
570.0,3880,12770.008656
600.0,4325,12782.402394
400.0,2599,12789.790037
365.0,2565,12797.430146
730.0,3665,12807.952317
1015.0,5979,12824.984245
1365.0,6247,12842.991903
1265.0,8659,12867.644928
430.0,3239,12876.88483
395.0,2985,12885.381585
605.0,5273,12900.376403
525.0,4644,12913.77331
805.0,4773,12927.306484
450.0,4315,12939.872904
630.0,4689,12963.726587
600.0,3981,12975.247769
555.0,4087,12987.277065
575.0,5365,13002.676049
975.0,6435,13021.049035
575.0,4372,13033.52538
1400.0,8804,13058.7743
745.0,4176,13070.741327
955.0,6792,13090.164763
575.0,3492,13100.194889
500.0,3329,13109.732123
315.0,3201,13118.779606
950.0,6573,13137.759167
755.0,3895,13149.031911
1485.0,7175,13169.570031
730.0,3512,13179.737252
720.0,4190,13191.995493
465.0,4207,13204.148892
515.0,4310,13216.590969
205.0,2327,13223.244252
605.0,4293,13235.458039
600.0,3765,13246.106257
400.0,3131,13265.308962
830.0,5937,13282.157645
490.0,4707,13295.589999
555.0,3943,13306.914247
485.0,3479,13317.020629
545.0,3728,13328.498886
860.0,3365,13338.380869
495.0,3537,13348.565041
600.0,5019,13363.219048
1310.0,7498,13385.112067
490.0,3397,13395.054784
395.0,3733,13405.775795
545.0,4712,13419.334544
485.0,3661,13429.801704
575.0,3621,13440.237808
600.0,4627,13453.624113
600.0,3539,13464.042667
515.0,3596,13474.52655
640.0,2455,13481.532538
775.0,4355,13494.001318
575.0,3813,13505.178165
500.0,3597,13515.409528
545.0,4055,13527.10386
1375.0,7691,13557.243384
490.0,4279,13569.491082
1000.0,6355,13587.767507
545.0,3255,13597.035503
715.0,3296,13606.551023
740.0,3893,13617.797657
585.0,3860,13628.718639
730.0,4069,13640.373837
380.0,3667,13650.674311
595.0,4101,13662.744942
540.0,3834,13674.487862
545.0,4579,13687.613763
395.0,3367,13697.340208
520.0,3983,13708.746975
545.0,3543,13719.225703
805.0,3977,13730.741744
260.0,3149,13740.002931
945.0,4912,13754.612916
535.0,3016,13763.212837
570.0,4240,13775.342785
1180.0,8321,13799.470703
965.0,6817,13819.070529
770.0,4681,13832.345066
520.0,4135,13844.072443
605.0,4767,13869.89203
800.0,4175,13881.806947
555.0,3201,13891.0299
1205.0,7926,13914.603743
275.0,2796,13922.705113
800.0,4085,13934.349947
545.0,3923,13945.717959
520.0,4525,13958.875237
1120.0,8685,13983.829522
1575.0,8575,14008.576514
575.0,4128,14020.645828
775.0,3945,14032.114995
440.0,4033,14043.967643
740.0,4943,14058.680704
1405.0,6791,14078.585041
570.0,4289,14090.803563
545.0,3392,14100.613996
810.0,4145,14112.739633
550.0,4139,14124.482688
515.0,3553,14134.779072
545.0,4793,14148.389285
600.0,3637,14172.947767
800.0,4261,14185.143214
800.0,3977,14196.468954
745.0,3860,14207.50274
600.0,5565,14223.591941
570.0,4111,14235.375946
460.0,4037,14246.985717
490.0,3509,14257.147413
1630.0,7727,14279.779619
1165.0,7457,14301.476585
405.0,3431,14311.344818
555.0,3663,14322.150455
570.0,4155,14334.087145
495.0,3409,14344.181044
725.0,4169,14356.503447
1375.0,8388,14380.603706
835.0,5155,14395.333846
600.0,4129,14407.448822
600.0,3861,14418.632265
600.0,4283,14431.123201
1160.0,9721,14468.014816
545.0,3915,14479.282214
440.0,3089,14488.490439
515.0,3745,14499.244523
775.0,3550,14509.451684
545.0,3731,14520.406765
575.0,4279,14532.771462
805.0,3673,14543.248182
1230.0,7465,14565.889802
1575.0,7869,14588.528256
575.0,4927,14602.770891
555.0,3009,14611.509176
775.0,3669,14622.065486
600.0,4371,14634.784049
355.0,2583,14642.307459
745.0,3421,14652.076564
555.0,3696,14663.056973
800.0,3923,14674.370927
805.0,4297,14686.990608
725.0,3467,14697.043615
805.0,3469,14707.150787
1160.0,6411,14725.356605
440.0,4250,14738.08365
780.0,3969,14750.137125
600.0,5013,14776.992541
520.0,4147,14789.001535
770.0,4226,14800.97876
485.0,3029,14809.703799
575.0,3052,14818.367626
555.0,2156,14824.604944
460.0,3201,14833.711052
575.0,3145,14842.824641
525.0,3865,14853.91861
465.0,3087,14862.704834
540.0,4240,14874.97315
775.0,3914,14886.102025
570.0,3621,14896.541503
